gene_id	normalized_count	barcode	tissue_type
?|100130426	0.0000	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
?|100133144	1.3774	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
?|100134869	1.3774	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
?|10357	112.5482	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
?|10431	860.8815	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
?|136542	0.0000	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
?|155060	99.1736	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
?|26823	0.0000	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
?|280660	0.0000	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
?|317712	0.0000	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
?|340602	0.0000	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
?|388795	2.7548	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
?|390284	1.3774	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
?|391343	0.0000	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
?|391714	0.0000	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
?|404770	0.0000	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
?|441362	0.0000	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
?|442388	0.0000	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
?|553137	199.7245	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
?|57714	95.0413	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
?|645851	0.0000	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
?|652919	0.0000	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
?|653553	303.0303	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
?|728045	0.0000	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
?|728603	0.0000	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
?|728788	1.3774	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
?|729884	0.0000	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
?|8225	1068.8705	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
?|90288	13.7741	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
A1BG|1	91446.8733	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
A1CF|29974	1666.6667	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
A2BP1|54715	0.0000	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
A2LD1|87769	175.5096	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
A2ML1|144568	0.0000	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
A2M|2	67214.7383	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
A4GALT|53947	152.8926	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
A4GNT|51146	1.3774	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
AAA1|404744	0.0000	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
AAAS|8086	860.8815	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
AACSL|729522	0.0000	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
AACS|65985	173.5537	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
AADACL2|344752	0.0000	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
AADACL3|126767	0.0000	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
AADACL4|343066	0.0000	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
AADAC|13	9114.3251	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
AADAT|51166	1209.3664	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
AAGAB|79719	428.3747	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
AAK1|22848	326.4463	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
AAMP|14	2823.6915	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
AANAT|15	0.0000	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
AARS2|57505	348.4848	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
AARSD1|80755	555.0964	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
AARS|16	3031.6804	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
AASDHPPT|60496	768.5950	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
AASDH|132949	144.6281	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
AASS|10157	2224.5179	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
AATF|26574	778.2369	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
AATK|9625	34.4353	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
ABAT|18	18380.1653	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
ABCA10|10349	348.4848	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
ABCA11P|79963	41.7631	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
ABCA12|26154	0.0000	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
ABCA13|154664	1.3774	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
ABCA17P|650655	1.3774	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
ABCA1|19	2323.6915	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
ABCA2|20	1913.2231	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
ABCA3|21	112.9477	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
ABCA4|24	16.5289	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
ABCA5|23461	800.2755	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
ABCA6|23460	2617.0799	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
ABCA7|10347	154.2700	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
ABCA8|10351	1987.6033	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
ABCA9|10350	263.0854	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
ABCB10|23456	523.4160	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
ABCB11|8647	753.4435	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
ABCB1|5243	1353.9945	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
ABCB4|5244	4280.9917	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
ABCB5|340273	0.0000	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
ABCB6|10058	1366.9559	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
ABCB7|22	457.3003	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
ABCB8|11194	833.3333	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
ABCB9|23457	47.2865	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
ABCC10|89845	165.2893	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
ABCC11|85320	41.3223	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
ABCC12|94160	0.0000	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
ABCC13|150000	6.8871	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
ABCC1|4363	319.5592	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
ABCC2|1244	3296.1433	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
ABCC3|8714	3344.3526	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
ABCC4|10257	92.2865	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
ABCC5|10057	274.1047	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
ABCC6P1|653190	622.5895	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
ABCC6P2|730013	147.3829	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
ABCC6|368	6610.1928	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
ABCC8|6833	0.0000	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
ABCC9|10060	1977.9614	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
ABCD1|215	513.7741	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
